Wall time,Step,Value
1672124023.085567,5,0.8583056330680847
1672124032.543458,6,0.8996577858924866
1672124069.890864,10,0.9387832283973694
1672124079.169527,11,0.9500427842140198
1672124097.993506,13,0.9560940265655518
1672124107.082774,14,0.9612142443656921
1672124116.565833,15,0.9621955752372742
1672124135.374583,17,0.9629504084587097
1672124144.662405,18,0.9696935415267944
1672124153.866991,19,0.9716938138008118
1672124163.254074,20,0.9735934734344482
1672124200.466977,24,0.9791918396949768
1672124285.320853,33,0.9797956943511963
1672124294.848949,34,0.9806385636329651
1672124313.445355,36,0.9819720983505249
1672124341.555458,39,0.9803743958473206
1672124350.909265,40,0.984840452671051
1672124369.733087,42,0.9810537695884705
1672124388.508719,44,0.985733687877655
1672124397.333268,45,0.9849033951759338
1672124416.3998,47,0.9817708134651184
1672124435.480077,49,0.9864382147789001
1672124444.298239,50,0.9830917716026306
1672124472.324006,53,0.9863626956939697
1672124482.156666,54,0.982211172580719
1672124491.380278,55,0.9836201667785645
1672124500.890057,56,0.9886901378631592
1672124510.288252,57,0.987834632396698
1672124538.81797,60,0.9895707368850708
1672124548.47011,61,0.9870043396949768
1672124567.36622,63,0.9895078539848328
1672124586.191831,65,0.9886901378631592
1672124595.762021,66,0.9902878403663635
1672124605.024716,67,0.9902375340461731
1672124614.576013,68,0.9913194179534912
1672124642.926233,71,0.9907155632972717
1672124652.196396,72,0.9890171885490417
1672124661.786638,73,0.9906652569770813
1672124671.518505,74,0.9914955496788025
1672124690.585332,76,0.9902123808860779
1672124718.927195,79,0.9902752637863159
1672124764.04431,84,0.9919987916946411
1672124773.602227,85,0.991784930229187
1672124782.907045,86,0.9906778335571289
1672124792.461941,87,0.9938355684280396
1672124802.011015,88,0.9918981194496155
1672124811.616223,89,0.9918981194496155
1672124859.157441,94,0.9924265146255493
1672124935.344784,102,0.9927662014961243
1672124964.058538,105,0.9935084581375122
1672124973.312461,106,0.9936342835426331
1672125040.858712,113,0.9932190775871277
1672125068.939515,116,0.9940494298934937
1672125088.017804,118,0.9939991235733032
1672125098.310561,119,0.9942004084587097
1672125108.233637,120,0.9910175204277039
1672125146.426717,124,0.9948922991752625
1672125156.066988,125,0.9917346239089966
1672125165.424283,126,0.9946658611297607
1672125193.227138,129,0.9945526123046875
1672125202.2349,130,0.9938984513282776
1672125228.633868,133,0.9912691116333008
1672125264.025655,137,0.9958609938621521
1672125281.807678,139,0.9949929714202881
1672125299.455681,141,0.9945526123046875
1672125308.140029,142,0.9940745830535889
1672125317.179925,143,0.9941877722740173
1672125325.798456,144,0.9946784377098083
1672125343.630476,146,0.9949174523353577
1672125361.374649,148,0.9930303692817688
1672125379.203938,150,0.9940494298934937
1672125405.574975,153,0.9930177927017212
1672125414.561073,154,0.9966661930084229
1672125424.210441,155,0.9946281313896179
1672125442.574505,157,0.9945651888847351
1672125451.20569,158,0.9949678182601929
1672125460.248604,159,0.9945148825645447
1672125487.121478,162,0.9941123127937317
1672125505.103505,164,0.9958358407020569
1672125513.906797,165,0.9940997362136841
1672125532.313785,167,0.994288444519043
1672125542.008127,168,0.9951565265655518
1672125570.59499,171,0.9959993958473206
1672125618.196848,176,0.9956094026565552
1672125627.543258,177,0.9941374659538269
1672125637.258289,178,0.9931561946868896
1672125656.157814,180,0.9946155548095703
1672125665.867287,181,0.9951439499855042
1672125684.928535,183,0.9955716729164124
1672125704.039195,185,0.9950558543205261
1672125713.720682,186,0.9956219792366028
1672125723.439529,187,0.9957981109619141
1672125733.193825,188,0.9940620064735413
1672125752.284356,190,0.9960748553276062
1672125761.920314,191,0.9950432777404785
1672125829.817664,198,0.9960748553276062
1672125868.294379,202,0.9956974387168884
1672125906.975906,206,0.9940871596336365
1672125916.394383,207,0.9968926310539246
1672125926.164641,208,0.9953452348709106
1672125964.939468,212,0.9953452348709106
1672125974.742128,213,0.993797779083252
1672125993.909313,215,0.9959113597869873
1672126022.924439,218,0.99660325050354
1672126032.435558,219,0.9950181245803833
1672126060.719369,222,0.9966661930084229
1672126069.981889,223,0.9961503744125366
1672126087.962894,225,0.9931184649467468
1672126096.949525,226,0.9963265061378479
1672126105.940532,227,0.9967290759086609
1672126123.942062,229,0.9958987236022949
1672126133.120297,230,0.9971945285797119
1672126142.065043,231,0.9956219792366028
1672126151.219027,232,0.9962132573127747
1672126160.131771,233,0.9954458475112915
1672126169.190712,234,0.9954081177711487
1672126196.324897,237,0.9944268465042114
1672126223.07099,240,0.9945148825645447
1672126259.771525,244,0.9952194094657898
1672126268.729253,245,0.9968926310539246
1672126286.952294,247,0.9946784377098083
1672126305.274019,249,0.9971693754196167
1672126314.302169,250,0.995093584060669
1672126359.937096,255,0.9942129850387573
1672126387.52182,258,0.9946784377098083
1672126396.428181,259,0.9966661930084229
1672126405.659172,260,0.9955968260765076
1672126414.499144,261,0.9917094111442566
1672126432.840672,263,0.9955213069915771
1672126469.302916,267,0.9967164993286133
1672126487.444232,269,0.9957478046417236
1672126505.721474,271,0.9949300289154053
1672126524.468937,273,0.9924013614654541
1672126570.075153,278,0.9942632913589478
1672126588.134038,280,0.9959993958473206
1672126624.464285,284,0.9969932436943054
1672126669.766877,289,0.997093915939331
1672126688.066998,291,0.9969052076339722
1672126697.194902,292,0.996137797832489
1672126724.447415,295,0.9968422651290894
1672126742.718177,297,0.996854841709137
1672126751.581959,298,0.9953829646110535
1672126760.700887,299,0.9875075221061707
1672126778.986634,301,0.996477484703064
1672126788.18376,302,0.9958358407020569
1672126797.168197,303,0.9965780973434448
1672126833.85533,307,0.9945904016494751
1672126842.808956,308,0.9962384104728699
1672126860.923515,310,0.9946155548095703
1672126888.285493,313,0.9952068328857422
1672126924.467034,317,0.9963390827178955
1672126933.691319,318,0.9955213069915771
1672126942.595399,319,0.9963390827178955
1672126951.882089,320,0.9965026378631592
1672126970.226609,322,0.995735228061676
1672126997.816801,325,0.9964019656181335
1672127006.72752,326,0.9940242767333984
1672127016.01477,327,0.9964271187782288
1672127043.513097,330,0.9926026463508606
1672127052.44632,331,0.9963139295578003
1672127070.588778,333,0.9961755275726318
1672127125.737954,339,0.9963265061378479
1672127143.963211,341,0.9965152144432068
1672127171.74294,344,0.9968045353889465
1672127180.63956,345,0.9950684309005737
1672127198.855119,347,0.9936720132827759
1672127208.125909,348,0.9931184649467468
1672127253.738559,353,0.9967164993286133
1672127262.643811,354,0.9935839176177979
1672127281.058924,356,0.9942255616188049
1672127299.539303,358,0.9934958815574646
1672127308.598621,359,0.9962761402130127
1672127318.60511,360,0.9954332709312439
1672127346.065388,363,0.9952068328857422
1672127355.100152,364,0.9966913461685181
1672127364.405887,365,0.9935336112976074
1672127382.729482,367,0.9959616661071777
1672127391.756169,368,0.9950181245803833
1672127410.534128,370,0.9930177927017212
1672127419.581325,371,0.9952319860458374
1672127437.766537,373,0.9790785908699036
1672127456.111058,375,0.9965906739234924
1672127474.63771,377,0.9967919588088989
1672127483.716904,378,0.9930933117866516
1672127492.987169,379,0.9952697157859802
1672127511.182127,381,0.9971190690994263
1672127520.283953,382,0.9885265827178955
1672127547.811115,385,0.9959616661071777
1672127557.153328,386,0.9941626191139221
1672127566.089946,387,0.9964648485183716
1672127575.389878,388,0.9955339431762695
1672127593.707409,390,0.9962635636329651
1672127602.922166,391,0.9953578114509583
1672127611.89453,392,0.9961000680923462
1672127621.24996,393,0.9961503744125366
1672127703.889294,402,0.9913949370384216
1672127713.039567,403,0.9976348876953125
1672127731.873406,405,0.9967793822288513
1672127759.087705,408,0.9959365129470825
1672127823.613121,415,0.9943261742591858
1672127833.09289,416,0.9972826242446899
1672127869.564893,420,0.9951439499855042
1672127878.888239,421,0.9959616661071777
1672127888.032588,422,0.9949929714202881
1672127906.542903,424,0.9960371255874634
1672127924.905479,426,0.9953703880310059
1672127961.50679,430,0.9933700561523438
1672128044.522351,439,0.9954961538314819
1672128053.837038,440,0.9933826327323914
1672128062.892865,441,0.9938607215881348
1672128072.298554,442,0.9971190690994263
1672128090.599438,444,0.9923259019851685
1672128099.952273,445,0.9968422651290894
1672128127.288644,448,0.9956219792366028
1672128155.026275,451,0.9962132573127747
1672128210.59684,457,0.9967416524887085
1672128219.737459,458,0.9946029782295227
1672128229.084645,459,0.9964396953582764
1672128238.121129,460,0.9940620064735413
1672128247.507095,461,0.9961503744125366
1672128265.918123,463,0.9972700476646423
1672128275.312288,464,0.995332658290863
1672128284.316811,465,0.9885643124580383
1672128302.577344,467,0.9794308543205261
1672128312.586225,468,0.9947916865348816
1672128321.772061,469,0.9957981109619141
1672128340.375012,471,0.9904388189315796
1672128358.72254,473,0.9955716729164124
1672128367.839708,474,0.9937474727630615
1672128404.965691,478,0.9917094111442566
1672128468.344302,485,0.9956722855567932
1672128495.888071,488,0.9958484172821045
1672128505.347229,489,0.9957603812217712
1672128523.796003,491,0.9970813393592834
1672128542.384998,493,0.9959365129470825
1672128570.510181,496,0.992527186870575
1672128672.707847,507,0.9977732300758362
1672128700.545474,510,0.9941248893737793
1672128709.900017,511,0.9955339431762695
1672128718.950648,512,0.9961881041526794
1672128737.730189,514,0.9950810074806213
1672128756.413735,516,0.9951565265655518
1672128765.536142,517,0.9964271187782288
1672128784.342914,519,0.995986819267273
1672128830.816816,524,0.995307445526123
1672128840.222394,525,0.9969680905342102
1672128895.735362,531,0.9961503744125366
1672128914.705663,533,0.99558424949646
1672128923.934341,534,0.9965529441833496
1672128933.391544,535,0.9965655207633972
1672128942.476703,536,0.9959616661071777
1672128951.984756,537,0.9966787695884705
1672128961.377388,538,0.9926907420158386
1672128970.762458,539,0.9965906739234924
1672128980.236298,540,0.9968045353889465
1672128989.344968,541,0.9958358407020569
1672128998.848329,542,0.9957478046417236
1672129017.373676,544,0.996854841709137
1672129045.616806,547,0.995332658290863
1672129054.684417,548,0.9964396953582764
1672129064.067623,549,0.9966661930084229
1672129082.933365,551,0.9958861470222473
1672129119.979531,555,0.9969932436943054
1672129138.744607,557,0.9954081177711487
1672129157.478573,559,0.9958735704421997
1672129166.516009,560,0.9958484172821045
1672129194.582138,563,0.9969680905342102
1672129204.087165,564,0.9958484172821045
1672129213.203608,565,0.9972071051597595
1672129231.784513,567,0.9958609938621521
1672129250.536685,569,0.9973706603050232
1672129269.368015,571,0.99660325050354
1672129287.964282,573,0.997433602809906
1672129297.200281,574,0.9978739023208618
1672129325.404466,577,0.9949929714202881
1672129343.922804,579,0.9919736385345459
1672129353.435042,580,0.9944771528244019
1672129362.80701,581,0.9925020337104797
1672129372.028882,582,0.9962132573127747
1672129381.59948,583,0.9948168396949768
1672129390.663896,584,0.9970687627792358
1672129409.317587,586,0.9961503744125366
1672129418.712535,587,0.9969806671142578
1672129465.459555,592,0.9970309734344482
1672129474.823963,593,0.996452271938324
1672129493.606938,595,0.9969052076339722
1672129502.828561,596,0.9956345558166504
1672129512.304971,597,0.9973329305648804
1672129521.48739,598,0.9960622787475586
1672129540.629119,600,0.9965529441833496
1672129559.13215,602,0.9972196817398071
1672129577.903175,604,0.9977103471755981
1672129596.482675,606,0.996854841709137
1672129615.041486,608,0.9974461793899536
1672129633.871976,610,0.98607337474823
1672129643.27802,611,0.9966913461685181
1672129653.272896,612,0.9950810074806213
1672129681.232357,615,0.9967919588088989
1672129718.899691,619,0.9923384785652161
1672129728.076774,620,0.9965152144432068
1672129747.124889,622,0.9965152144432068
1672129756.399561,623,0.9939613342285156
1672129775.150426,625,0.997408390045166
1672129812.877391,629,0.9973580837249756
1672129822.102847,630,0.9955465197563171
1672129840.931232,632,0.9969177842140198
1672129859.904081,634,0.9961755275726318
1672129925.959221,641,0.9961000680923462
1672129935.098495,642,0.9955213069915771
1672129953.796662,644,0.9967793822288513
1672129963.220567,645,0.9939739108085632
1672129972.704585,646,0.9956345558166504
1672129982.019774,647,0.9929549098014832
1672129991.537198,648,0.9963893890380859
1672130000.70431,649,0.9960245490074158
1672130019.61246,651,0.9965529441833496
1672130028.864801,652,0.9944897294044495
1672130066.437552,656,0.990979790687561
1672130075.699504,657,0.9948294162750244
1672130094.362699,659,0.9962132573127747
1672130113.384417,661,0.9971316456794739
1672130141.720229,664,0.996200680732727
1672130160.468415,666,0.9956345558166504
1672130170.05135,667,0.9961126446723938
1672130179.582503,668,0.996200680732727
1672130207.558915,671,0.994288444519043
1672130217.05304,672,0.9945526123046875
1672130226.60763,673,0.9935964941978455
1672130235.960746,674,0.9964396953582764
1672130245.52643,675,0.9963013529777527
1672130264.259126,677,0.9885768890380859
1672130273.568735,678,0.9893065690994263
1672130283.064861,679,0.9961755275726318
1672130301.883254,681,0.9971693754196167
1672130311.392804,682,0.9962258338928223
1672130320.665033,683,0.9936217069625854
1672130330.259622,684,0.993143618106842
1672130339.741353,685,0.9972700476646423
1672130349.295825,686,0.9902123808860779
1672130367.927235,688,0.9956597089767456
1672130377.453382,689,0.9954081177711487
1672130405.732952,692,0.9952948689460754
1672130443.353211,696,0.992590069770813
1672130471.724962,699,0.9930429458618164
1672130480.928173,700,0.9948168396949768
1672130490.683094,701,0.9945778250694275
1672130500.393668,702,0.9967039227485657
1672130509.438897,703,0.9981757998466492
1672130518.898662,704,0.9954584240913391
1672130528.203189,705,0.9955087304115295
1672130537.845084,706,0.9961503744125366
1672130556.638766,708,0.997345507144928
1672130566.197834,709,0.9966284036636353
1672130575.323946,710,0.9955339431762695
1672130613.314775,714,0.9963013529777527
1672130650.761624,718,0.9971442222595215
1672130660.284557,719,0.9973329305648804
1672130679.072115,721,0.9898475408554077
1672130688.261477,722,0.9982135891914368
1672130697.854261,723,0.995647132396698
1672130707.424376,724,0.9979619383811951
1672130716.852609,725,0.9957981109619141
1672130726.418746,726,0.9965780973434448
1672130754.508823,729,0.9974209666252136
1672130763.962699,730,0.996452271938324
1672130773.517183,731,0.9962258338928223
1672130820.732905,736,0.9943387508392334
1672130839.594724,738,0.9956848621368408
1672130848.87452,739,0.9958861470222473
1672130858.402709,740,0.994753897190094
1672130867.907067,741,0.9939864873886108
1672130887.687269,743,0.9965277910232544
1672130916.09436,746,0.9978235960006714
1672130925.415267,747,0.9951061606407166
1672130953.983016,750,0.9887781739234924
1672130963.428192,751,0.9970183968544006
1672130972.817501,752,0.9968171119689941
1672130991.589022,754,0.9976600408554077
1672131010.614772,756,0.9978739023208618
1672131038.822447,759,0.9961881041526794
1672131048.424897,760,0.9952948689460754
1672131067.264649,762,0.9944519996643066
1672131095.840551,765,0.9915584921836853
1672131105.091689,766,0.9977983832359314
1672131114.610617,767,0.99048912525177
1672131133.511572,769,0.9974713325500488
1672131143.120363,770,0.9956094026565552
1672131152.266675,771,0.9893694519996643
1672131161.900475,772,0.9833308458328247
1672131171.439789,773,0.9917723536491394
1672131180.797122,774,0.9964145421981812
1672131190.402317,775,0.9967039227485657
1672131199.576877,776,0.9893191456794739
1672131226.567029,779,0.9951187372207642
1672131236.175022,780,0.9935964941978455
1672131273.931175,784,0.99558424949646
1672131283.511237,785,0.9958609938621521
1672131302.562741,787,0.9750654101371765
1672131321.541452,789,0.9837711453437805
1672131340.50298,791,0.9956094026565552
1672131350.171718,792,0.9946281313896179
1672131359.443787,793,0.9973832368850708
1672131369.099049,794,0.9918603897094727
1672131378.546722,795,0.993546187877655
1672131388.088877,796,0.9977229237556458
1672131406.915719,798,0.9938355684280396
1672131426.021365,800,0.9974209666252136
1672131445.149287,802,0.9974461793899536
1672131473.327345,805,0.9970687627792358
1672131482.956375,806,0.9954835772514343
1672131492.551841,807,0.9972071051597595
1672131501.782962,808,0.995710015296936
1672131511.378595,809,0.9963768124580383
1672131549.185646,813,0.9954835772514343
1672131568.10271,815,0.9972448945045471
1672131577.7767,816,0.99388587474823
1672131596.652514,818,0.994779109954834
1672131625.085314,821,0.9954458475112915
1672131644.178691,823,0.9940117001533508
1672131653.855085,824,0.9980123043060303
1672131663.221796,825,0.9964271187782288
1672131691.811952,828,0.9958484172821045
1672131720.109757,831,0.9941500425338745
1672131729.560263,832,0.9967668056488037
1672131748.778207,834,0.9867526888847351
1672131767.605724,836,0.9950558543205261
1672131786.564382,838,0.9946029782295227
1672131796.254282,839,0.9962635636329651
1672131834.135487,843,0.9959239363670349
1672131853.168565,845,0.9955087304115295
1672131862.755155,846,0.9969303607940674
1672131872.071602,847,0.9954332709312439
1672131881.667364,848,0.9963516592979431
1672131910.208297,851,0.9894701242446899
1672131929.429041,853,0.9976348876953125
1672131968.192669,857,0.993143618106842
1672131987.840474,859,0.991784930229187
1672131997.233229,860,0.9941626191139221
1672132006.86423,861,0.9944771528244019
1672132016.164751,862,0.9970813393592834
1672132026.057317,863,0.9964145421981812
1672132064.080407,867,0.9964145421981812
1672132083.531775,869,0.9971945285797119
1672132093.061221,870,0.9935587644577026
1672132121.69987,873,0.9965529441833496
1672132131.263408,874,0.9952697157859802
1672132140.946405,875,0.9897971749305725
1672132150.852918,876,0.9935084581375122
1672132160.298725,877,0.9963013529777527
1672132179.625581,879,0.9958106875419617
1672132189.836701,880,0.9966661930084229
1672132199.966522,881,0.9851424098014832
1672132209.366828,882,0.9880484938621521
1672132228.620835,884,0.9955590963363647
1672132257.016209,887,0.9965906739234924
1672132276.383069,889,0.9954206943511963
1672132285.822716,890,0.9947916865348816
1672132304.784634,892,0.9951439499855042
1672132314.472111,893,0.9820727705955505
1672132324.287929,894,0.9954835772514343
1672132343.523028,896,0.9920994639396667
1672132352.780241,897,0.9956722855567932
1672132372.15005,899,0.9961881041526794
1672132381.735245,900,0.995244562625885
1672132429.71479,905,0.9956219792366028
1672132448.777351,907,0.9955087304115295
1672132458.530828,908,0.9968926310539246
1672132468.248441,909,0.9879353046417236
1672132477.689074,910,0.9953578114509583
1672132487.492881,911,0.9958358407020569
1672132496.883504,912,0.9956722855567932
1672132506.738519,913,0.9951439499855042
1672132525.862189,915,0.9942381381988525
1672132535.560796,916,0.9979242086410522
1672132544.94139,917,0.993395209312439
1672132573.984447,920,0.9692532420158386
1672132583.726022,921,0.9854569435119629
1672132593.239516,922,0.9963013529777527
1672132603.074928,923,0.9944268465042114
1672132622.480215,925,0.9948671460151672
1672132680.514146,931,0.9913446307182312
1672132690.277193,932,0.9966158270835876
1672132699.943122,933,0.9948922991752625
1672132718.847088,935,0.9960748553276062
1672132757.345012,939,0.9913697838783264
1672132785.923996,942,0.9960874319076538
1672132814.759264,945,0.9950055480003357
1672132853.354074,949,0.9968296885490417
1672132882.025219,952,0.9914955496788025
1672132891.673241,953,0.9941500425338745
1672132901.456719,954,0.9959113597869873
1672132920.647276,956,0.9920868277549744
1672132930.285934,957,0.9954584240913391
1672132939.933223,958,0.9850291609764099
1672132958.951702,960,0.990338146686554
1672132968.63568,961,0.9889920353889465
1672132977.997619,962,0.9951691031455994
1672132987.764471,963,0.996452271938324
1672132997.458084,964,0.9949678182601929
1672133016.435414,966,0.995710015296936
1672133025.893495,967,0.9936217069625854
1672133045.26027,969,0.9937223196029663
1672133064.415898,971,0.9902626872062683
1672133073.800816,972,0.9880359172821045
1672133093.346792,974,0.9963893890380859
1672133112.373217,976,0.9928165078163147
1672133121.791411,977,0.9949552416801453
1672133131.457759,978,0.9940117001533508
1672133141.097812,979,0.9958861470222473
1672133169.724503,982,0.9919484853744507
1672133179.485544,983,0.9952068328857422
1672133189.229553,984,0.9931561946868896
1672133217.55675,987,0.9954081177711487
1672133227.305592,988,0.9957226514816284
1672133304.098414,996,0.9953578114509583
1672133332.925207,999,0.9948922991752625
1672133342.471365,1000,0.9945274591445923
1672133361.548702,1002,0.9943891167640686
1672133381.286256,1004,0.995307445526123
1672133390.765073,1005,0.987897515296936
1672133419.593306,1008,0.9922126531600952
1672133429.436659,1009,0.9914200901985168
1672133448.672492,1011,0.9937348961830139
